Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (0.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 6 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 7 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 0 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 1 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
Count: 2 / moveDrct: (1.0, 0.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (2.5, -9.5, 0.0)
Count: 3 / moveDrct: (0.0, -1.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (2.5, -10.5, 0.0)
Count: 4 / moveDrct: (-1.0, 0.0, 0.0) / 元の位置: (2.5, -9.5, 0.0) / 新しい位置: (1.5, -9.5, 0.0)
Count: 5 / moveDrct: (0.0, 1.0, 0.0) / 元の位置: (1.5, -9.5, 0.0) / 新しい位置: (1.5, -8.5, 0.0)
